S.L,Name,Number,Address,Age,Religion,Status,Qualification
377,Sumit Das,DEMO-0377,Nadia,50,Hindu,A,HS
378,Kunal Das,DEMO-0378,Howrah,51,Muslim,B,Madhyamik
379,Tapan Das,DEMO-0379,Hooghly,52,Christian,A,Graduate
380,Bikram Das,DEMO-0380,Bardhaman,53,Other,C,HS
381,Puja Das,DEMO-0381,Kolkata,54,Hindu,A,HS
382,Priya Das,DEMO-0382,Murshidabad,55,Muslim,A,HS
383,Riya Das,DEMO-0383,Jangipur,56,Christian,B,Madhyamik
384,Moumita Das,DEMO-0384,Berhampore,57,Other,A,Graduate
385,Sneha Das,DEMO-0385,Raghunathganj,58,Hindu,C,HS
386,Ananya Das,DEMO-0386,Malda,59,Muslim,A,HS
387,Payel Das,DEMO-0387,Nadia,60,Christian,A,HS
388,Sonia Das,DEMO-0388,Howrah,18,Other,B,Madhyamik
389,Tania Das,DEMO-0389,Hooghly,19,Hindu,A,Graduate
390,Rupali Das,DEMO-0390,Bardhaman,20,Muslim,C,HS
391,Amit Dey,DEMO-0391,Kolkata,21,Christian,A,HS
392,Suman Dey,DEMO-0392,Murshidabad,22,Other,A,HS
393,Rahul Dey,DEMO-0393,Jangipur,23,Hindu,B,Madhyamik
394,Rohit Dey,DEMO-0394,Berhampore,24,Muslim,A,Graduate
395,Ankit Dey,DEMO-0395,Raghunathganj,25,Christian,C,HS
396,Arjun Dey,DEMO-0396,Malda,26,Other,A,HS
397,Vikash Dey,DEMO-0397,Nadia,27,Hindu,A,HS
398,Sourav Dey,DEMO-0398,Howrah,28,Muslim,B,Madhyamik
399,Subhajit Dey,DEMO-0399,Hooghly,29,Christian,A,Graduate
400,Surojit Dey,DEMO-0400,Bardhaman,30,Other,C,HS
401,Bishal Dey,DEMO-0401,Kolkata,31,Hindu,A,HS
402,Debashis Dey,DEMO-0402,Murshidabad,32,Muslim,A,HS
403,Abhishek Dey,DEMO-0403,Jangipur,33,Christian,B,Madhyamik
404,Pradip Dey,DEMO-0404,Berhampore,34,Other,A,Graduate
405,Raj Dey,DEMO-0405,Raghunathganj,35,Hindu,C,HS
406,Rakesh Dey,DEMO-0406,Malda,36,Muslim,A,HS
407,Sumit Dey,DEMO-0407,Nadia,37,Christian,A,HS
408,Kunal Dey,DEMO-0408,Howrah,38,Other,B,Madhyamik
409,Tapan Dey,DEMO-0409,Hooghly,39,Hindu,A,Graduate
410,Bikram Dey,DEMO-0410,Bardhaman,40,Muslim,C,HS
411,Puja Dey,DEMO-0411,Kolkata,41,Christian,A,HS
412,Priya Dey,DEMO-0412,Murshidabad,42,Other,A,HS
413,Riya Dey,DEMO-0413,Jangipur,43,Hindu,B,Madhyamik
414,Moumita Dey,DEMO-0414,Berhampore,44,Muslim,A,Graduate
415,Sneha Dey,DEMO-0415,Raghunathganj,45,Christian,C,HS
416,Ananya Dey,DEMO-0416,Malda,46,Other,A,HS
417,Payel Dey,DEMO-0417,Nadia,47,Hindu,A,HS
418,Sonia Dey,DEMO-0418,Howrah,48,Muslim,B,Madhyamik
419,Tania Dey,DEMO-0419,Hooghly,49,Christian,A,Graduate
420,Rupali Dey,DEMO-0420,Bardhaman,50,Other,C,HS
421,Amit Saha,DEMO-0421,Kolkata,51,Hindu,A,HS
422,Suman Saha,DEMO-0422,Murshidabad,52,Muslim,A,HS
423,Rahul Saha,DEMO-0423,Jangipur,53,Christian,B,Madhyamik
424,Rohit Saha,DEMO-0424,Berhampore,54,Other,A,Graduate
425,Ankit Saha,DEMO-0425,Raghunathganj,55,Hindu,C,HS
426,Arjun Saha,DEMO-0426,Malda,56,Muslim,A,HS
427,Vikash Saha,DEMO-0427,Nadia,57,Christian,A,HS
428,Sourav Saha,DEMO-0428,Howrah,58,Other,B,Madhyamik
429,Subhajit Saha,DEMO-0429,Hooghly,59,Hindu,A,Graduate
430,Surojit Saha,DEMO-0430,Bardhaman,60,Muslim,C,HS
431,Bishal Saha,DEMO-0431,Kolkata,18,Christian,A,HS
432,Debashis Saha,DEMO-0432,Murshidabad,19,Other,A,HS
433,Abhishek Saha,DEMO-0433,Jangipur,20,Hindu,B,Madhyamik
434,Pradip Saha,DEMO-0434,Berhampore,21,Muslim,A,Graduate
435,Raj Saha,DEMO-0435,Raghunathganj,22,Christian,C,HS
436,Rakesh Saha,DEMO-0436,Malda,23,Other,A,HS
437,Sumit Saha,DEMO-0437,Nadia,24,Hindu,A,HS
438,Kunal Saha,DEMO-0438,Howrah,25,Muslim,B,Madhyamik
439,Tapan Saha,DEMO-0439,Hooghly,26,Christian,A,Graduate
440,Bikram Saha,DEMO-0440,Bardhaman,27,Other,C,HS
441,Puja Saha,DEMO-0441,Kolkata,28,Hindu,A,HS
442,Priya Saha,DEMO-0442,Murshidabad,29,Muslim,A,HS
443,Riya Saha,DEMO-0443,Jangipur,30,Christian,B,Madhyamik
444,Moumita Saha,DEMO-0444,Berhampore,31,Other,A,Graduate
445,Sneha Saha,DEMO-0445,Raghunathganj,32,Hindu,C,HS
446,Ananya Saha,DEMO-0446,Malda,33,Muslim,A,HS
447,Payel Saha,DEMO-0447,Nadia,34,Christian,A,HS
448,Sonia Saha,DEMO-0448,Howrah,35,Other,B,Madhyamik
449,Tania Saha,DEMO-0449,Hooghly,36,Hindu,A,Graduate
450,Rupali Saha,DEMO-0450,Bardhaman,37,Muslim,C,HS
451,Amit Paul,DEMO-0451,Kolkata,38,Christian,A,HS
452,Suman Paul,DEMO-0452,Murshidabad,39,Other,A,HS
453,Rahul Paul,DEMO-0453,Jangipur,40,Hindu,B,Madhyamik
454,Rohit Paul,DEMO-0454,Berhampore,41,Muslim,A,Graduate
455,Ankit Paul,DEMO-0455,Raghunathganj,42,Christian,C,HS
456,Arjun Paul,DEMO-0456,Malda,43,Other,A,HS
457,Vikash Paul,DEMO-0457,Nadia,44,Hindu,A,HS
458,Sourav Paul,DEMO-0458,Howrah,45,Muslim,B,Madhyamik
459,Subhajit Paul,DEMO-0459,Hooghly,46,Christian,A,Graduate
460,Surojit Paul,DEMO-0460,Bardhaman,47,Other,C,HS
461,Bishal Paul,DEMO-0461,Kolkata,48,Hindu,A,HS
462,Debashis Paul,DEMO-0462,Murshidabad,49,Muslim,A,HS
463,Abhishek Paul,DEMO-0463,Jangipur,50,Christian,B,Madhyamik
464,Pradip Paul,DEMO-0464,Berhampore,51,Other,A,Graduate
465,Raj Paul,DEMO-0465,Raghunathganj,52,Hindu,C,HS
466,Rakesh Paul,DEMO-0466,Malda,53,Muslim,A,HS
467,Sumit Paul,DEMO-0467,Nadia,54,Christian,A,HS
468,Kunal Paul,DEMO-0468,Howrah,55,Other,B,Madhyamik
469,Tapan Paul,DEMO-0469,Hooghly,56,Hindu,A,Graduate
470,Bikram Paul,DEMO-0470,Bardhaman,57,Muslim,C,HS
471,Puja Paul,DEMO-0471,Kolkata,58,Christian,A,HS
472,Priya Paul,DEMO-0472,Murshidabad,59,Other,A,HS
473,Riya Paul,DEMO-0473,Jangipur,60,Hindu,B,Madhyamik
474,Moumita Paul,DEMO-0474,Berhampore,18,Muslim,A,Graduate
475,Sneha Paul,DEMO-0475,Raghunathganj,19,Christian,C,HS
476,Ananya Paul,DEMO-0476,Malda,20,Other,A,HS
477,Payel Paul,DEMO-0477,Nadia,21,Hindu,A,HS
478,Sonia Paul,DEMO-0478,Howrah,22,Muslim,B,Madhyamik
479,Tania Paul,DEMO-0479,Hooghly,23,Christian,A,Graduate
480,Rupali Paul,DEMO-0480,Bardhaman,24,Other,C,HS
481,Amit Mondal,DEMO-0481,Kolkata,25,Hindu,A,HS
482,Suman Mondal,DEMO-0482,Murshidabad,26,Muslim,A,HS
483,Rahul Mondal,DEMO-0483,Jangipur,27,Christian,B,Madhyamik
484,Rohit Mondal,DEMO-0484,Berhampore,28,Other,A,Graduate
485,Ankit Mondal,DEMO-0485,Raghunathganj,29,Hindu,C,HS
486,Arjun Mondal,DEMO-0486,Malda,30,Muslim,A,HS
487,Vikash Mondal,DEMO-0487,Nadia,31,Christian,A,HS
488,Sourav Mondal,DEMO-0488,Howrah,32,Other,B,Madhyamik
489,Subhajit Mondal,DEMO-0489,Hooghly,33,Hindu,A,Graduate
490,Surojit Mondal,DEMO-0490,Bardhaman,34,Muslim,C,HS
491,Bishal Mondal,DEMO-0491,Kolkata,35,Christian,A,HS
492,Debashis Mondal,DEMO-0492,Murshidabad,36,Other,A,HS
493,Abhishek Mondal,DEMO-0493,Jangipur,37,Hindu,B,Madhyamik
494,Pradip Mondal,DEMO-0494,Berhampore,38,Muslim,A,Graduate
495,Raj Mondal,DEMO-0495,Raghunathganj,39,Christian,C,HS
496,Rakesh Mondal,DEMO-0496,Malda,40,Other,A,HS
497,Sumit Mondal,DEMO-0497,Nadia,41,Hindu,A,HS
498,Kunal Mondal,DEMO-0498,Howrah,42,Muslim,B,Madhyamik
499,Tapan Mondal,DEMO-0499,Hooghly,43,Christian,A,Graduate
500,Bikram Mondal,DEMO-0500,Bardhaman,44,Other,C,HS
